Protein_UniProt:Q9BYF1
Protein_UniProt:P51532
Protein_UniProt:Q13627
Protein_UniProt:O15550
Protein_UniProt:Q92785
Protein_UniProt:Q6NYC1
Protein_UniProt:O94888
Protein_UniProt:Q9Y4B4
Protein_UniProt:O14497
Protein_UniProt:P09429
Protein_UniProt:Q13114
Protein_UniProt:Q9NUC0
Protein_UniProt:Q8WWQ0
Protein_UniProt:Q13485
Protein_UniProt:Q96HL8
Protein_UniProt:O43679
Protein_UniProt:P07711
Protein_UniProt:Q92793
Protein_UniProt:Q969G3
Protein_UniProt:P84022
Protein_UniProt:Q9BZF1
Protein_UniProt:Q68D10
Protein_UniProt:Q8N488
Protein_UniProt:Q13442
Protein_UniProt:Q96JJ7
Protein_UniProt:P61457
Protein_UniProt:O75529
Protein_UniProt:Q5EBL2
Protein_UniProt:Q86UY6
Protein_UniProt:Q14241
Protein_UniProt:Q8N1D0
Protein_UniProt:Q9UH36
Protein_UniProt:O14686
Protein_UniProt:Q99640
Protein_UniProt:Q8N6M0
Protein_UniProt:Q53R41
Protein_STRING:ENSP00000271657
Protein_UniProt:P57059
Protein_UniProt:Q9NZD1
Protein_UniProt:Q96J66
Protein_UniProt:Q9UKF2
Protein_UniProt:Q7Z478
Protein_UniProt:Q12824
Protein_UniProt:Q8IXJ9
Protein_UniProt:A8MPY1
Protein_UniProt:Q9UQR0
Protein_UniProt:Q15831
Protein_UniProt:Q8IUQ4
Protein_UniProt:Q86YR5
Protein_UniProt:P04637
Protein_UniProt:O14929
Protein_UniProt:Q92922
Protein_UniProt:Q8N8Q9
Protein_UniProt:P27707
Protein_UniProt:Q9H334
Protein_UniProt:Q96NH3
Protein_UniProt:Q9ULW5
Protein_UniProt:P36896
Protein_UniProt:P14151
Protein_UniProt:Q13263
Protein_UniProt:P0C263
Protein_UniProt:Q96DT7
Protein_UniProt:Q9Y6R1
Protein_UniProt:A8MTA8
Protein_UniProt:Q5XKL5
Protein_UniProt:Q9UKJ3
Protein_UniProt:O15371
Protein_UniProt:Q9Y376
Protein_UniProt:Q9UNI1
Protein_UniProt:Q9UHV7
Protein_UniProt:Q9Y3Y4
Protein_UniProt:Q8WU90
Protein_UniProt:Q9H5I1
Protein_UniProt:P62280
Protein_UniProt:Q16655
Protein_UniProt:Q9H2A9
Protein_UniProt:O15266
Protein_UniProt:Q9Y6Z7
Protein_UniProt:Q15650
Protein_UniProt:Q09472
Protein_UniProt:Q03111
Protein_UniProt:P36871
Protein_UniProt:Q8N987
Protein_UniProt:O14548
Protein_UniProt:Q9BRK4
Protein_UniProt:Q14145
Protein_UniProt:Q8IUK8
Protein_UniProt:Q6ZMV7
Protein_UniProt:P78344
Protein_UniProt:Q13342
Protein_UniProt:Q4VCS5
Protein_UniProt:Q8IW36
Protein_UniProt:P20823
Protein_UniProt:Q8N5A5
Protein_UniProt:Q99496
Protein_UniProt:Q9H2G9
Protein_UniProt:Q02040
Protein_UniProt:P17028
Protein_UniProt:O95628
Protein_UniProt:Q15022
Protein_UniProt:Q66K14
Protein_UniProt:Q9Y272
Protein_UniProt:Q3T906
Protein_UniProt:Q8NEM7
Protein_UniProt:Q6ZW76
Protein_UniProt:Q13291
Protein_UniProt:P16444
Protein_UniProt:Q8N7K0
Protein_UniProt:A6NHN0
Protein_UniProt:Q9H8M2
Protein_UniProt:P51161
Protein_UniProt:Q9H790
Protein_UniProt:Q9NPY3
Protein_UniProt:Q68DK2
Protein_UniProt:Q7Z7E8
Protein_UniProt:O75113
Protein_UniProt:A0AV96
Protein_UniProt:P13798
Protein_UniProt:Q9H6D3
Protein_UniProt:Q9P2X3
Protein_UniProt:Q99946
Protein_UniProt:Q86TJ2
Protein_UniProt:P78312
Protein_UniProt:Q9C0C7
Protein_UniProt:P05161
Protein_UniProt:P51811
Protein_UniProt:Q8IYB1
Protein_UniProt:Q8TBH0
Protein_UniProt:Q8IWV7
Protein_UniProt:P27797
Protein_UniProt:Q8TDX7
Protein_UniProt:P52943
Protein_UniProt:Q7RTV3
Protein_UniProt:Q9NW38
Protein_UniProt:Q6ZV50
Protein_UniProt:Q05639
Protein_UniProt:P68133
Protein_UniProt:Q16589
Protein_UniProt:Q96LD8
