CDK5RAP2	NINL
CDK5RAP2	NIN
PCNT	NINL
PCNT	NIN
NINL	NIN
PRKACA	PRKAR2A
PRKACA	PRKAR2B
PRKACA	AKAP9
PRKAR2A	PRKAR2B
PRKAR2A	AKAP9
PRKAR2B	AKAP9
TLE1	TLE3
TLE1	TLE5
TLE3	TLE5
GOLGA2	GOLGA3
GOLGA2	GOLGB1
GOLGA2	GORASP1
GOLGA2	GCC2
GOLGA2	GCC1
GOLGA3	GOLGB1
GOLGA3	GORASP1
GOLGA3	GCC2
GOLGA3	GCC1
GOLGB1	GORASP1
GOLGB1	GCC2
GOLGB1	GCC1
GORASP1	GCC2
GORASP1	GCC1
GCC2	GCC1
TBK1	TBKBP1
nsp14	GLA
nsp14	IMPDH2
nsp14	SIRT5
nsp15	NUTF2
nsp15	ARF6
nsp15	RNF41
nsp2	SLC27A2
nsp2	EIF4E2
nsp2	POR
nsp2	RAP1GDS1
nsp2	WASHC4
nsp2	FKBP15
nsp2	GIGYF2
GIGYF2	EIF4E2
WASHC4	FKBP15
nsp4	IDE
nsp4	TIMM10
nsp4	ALG11
nsp4	NUP210
nsp4	TIMM29
nsp4	DNAJC11
nsp4	TIMM10B
nsp4	TIMM9
TIMM10	TIMM29
TIMM10	TIMM9
TIMM10	TIMM10B
TIMM29	TIMM9
TIMM29	TIMM10B
TIMM9	TIMM10B
nsp5	HDAC2
nsp5_C145A	GPX1
nsp5_C145A	TRMT1
nsp6	ATP5MG
nsp6	ATP6AP1
nsp6	SIGMAR1
nsp6	ATP13A3
ATP13A3	ATP5MG
ATP13A3	ATP6AP1
ATP5MG	ATP6AP1
nsp7	AGPS
nsp7	CYB5B
nsp7	ACSL3
nsp7	CYB5R3
nsp7	RALA
nsp7	COMT
nsp7	RAB5C
nsp7	RAB7A
nsp7	RAB8A
nsp7	RAB2A
nsp7	RAB10
nsp7	RAB14
nsp7	RHOA
nsp7	RAB1A
nsp7	GNB1
nsp7	GNG5
nsp7	LMAN2
nsp7	MOGS
nsp7	TOR1AIP1
nsp7	MTARC1
nsp7	QSOX2
nsp7	HS2ST1
nsp7	NDUFAF2
nsp7	SCCPDH
nsp7	SCARB1
nsp7	NAT14
nsp7	DCAKD
nsp7	FAM162A
nsp7	DNAJC19
nsp7	SELENOS
nsp7	PTGES2
nsp7	RAB18
CYB5B	CYB5R3
CYB5B	NDUFAF2
CYB5R3	NDUFAF2
GNG5	GNB1
GNG5	RHOA
GNB1	RHOA
RAB18	RAB14
RAB18	RAB8A
RAB18	RAB7A
RAB18	RAB10
RAB18	RAB5C
RAB18	RAB2A
RAB18	RAB1A
RAB18	LMAN2
RAB18	RALA
RAB14	RAB8A
RAB14	RAB7A
RAB14	RAB10
RAB14	RAB5C
RAB14	RAB2A
RAB14	RAB1A
RAB14	LMAN2
RAB14	RALA
RAB8A	RAB7A
RAB8A	RAB10
RAB8A	RAB5C
RAB8A	RAB2A
RAB8A	RAB1A
RAB8A	LMAN2
RAB8A	RALA
RAB7A	RAB10
RAB7A	RAB5C
RAB7A	RAB2A
RAB7A	RAB1A
RAB7A	LMAN2
RAB7A	RALA
RAB10	RAB5C
RAB10	RAB2A
RAB10	RAB1A
RAB10	LMAN2
RAB10	RALA
RAB5C	RAB2A
RAB5C	RAB1A
RAB5C	LMAN2
RAB5C	RALA
RAB2A	RAB1A
RAB2A	LMAN2
RAB2A	RALA
RAB1A	LMAN2
RAB1A	RALA
LMAN2	RALA
nsp8	MPHOSPH10
nsp8	SRP72
nsp8	ATE1
nsp8	NSD2
nsp8	SRP19
nsp8	SRP54
nsp8	MRPS25
nsp8	DDX10
nsp8	LARP7
nsp8	MEPCE
nsp8	NGDN
nsp8	EXOSC8
nsp8	NARS2
nsp8	NOL10
nsp8	CCDC86
nsp8	SEPSECS
nsp8	EXOSC5
nsp8	EXOSC3
nsp8	AATF
nsp8	HECTD1
nsp8	MRPS2
nsp8	MRPS5
nsp8	EXOSC2
nsp8	MRPS27
EXOSC8	EXOSC3
EXOSC8	EXOSC5
EXOSC8	EXOSC2
EXOSC3	EXOSC5
EXOSC3	EXOSC2
EXOSC5	EXOSC2
LARP7	MEPCE
MRPS5	MRPS25
MRPS5	MRPS2
