SIGMAR1,Protein_UniProt:Q99720
ATP13A3,Protein_UniProt:Q9H7F0
AGPS,Protein_UniProt:O00116
CYB5B,Protein_UniProt:O43169
ACSL3,Protein_UniProt:O95573
CYB5R3,Protein_UniProt:P00387
RALA,Protein_UniProt:P11233
COMT,Protein_UniProt:P21964
RAB5C,Protein_UniProt:P51148
RAB7A,Protein_UniProt:P51149
RAB8A,Protein_UniProt:P61006
RAB2A,Protein_UniProt:P61019
RAB10,Protein_UniProt:P61026
RAB14,Protein_UniProt:P61106
RHOA,Protein_UniProt:P61586
RAB1A,Protein_UniProt:P62820
GNB1,Protein_UniProt:P62873
GNG5,Protein_UniProt:P63218
LMAN2,Protein_UniProt:Q12907
MOGS,Protein_UniProt:Q13724
TOR1AIP1,Protein_UniProt:Q5JTV8
MTARC1,Protein_UniProt:Q5VT66
QSOX2,Protein_UniProt:Q6ZRP7
HS2ST1,Protein_UniProt:Q7LGA3
NDUFAF2,Protein_UniProt:Q8N183
SCCPDH,Protein_UniProt:Q8NBX0
SCARB1,Protein_UniProt:Q8WTV0
NAT14,Protein_UniProt:Q8WUY8
DCAKD,Protein_UniProt:Q8WVC6
FAM162A,Protein_UniProt:Q96A26
DNAJC19,Protein_UniProt:Q96DA6
SELENOS,Protein_UniProt:Q9BQE4
PTGES2,Protein_UniProt:Q9H7Z7
RAB18,Protein_UniProt:Q9NP72
MPHOSPH10,Protein_UniProt:O00566
SRP72,Protein_UniProt:O76094
ATE1,Protein_UniProt:O95260
NSD2,Protein_UniProt:O96028
SRP19,Protein_UniProt:P09132
SRP54,Protein_UniProt:P61011
MRPS25,Protein_UniProt:P82663
DDX10,Protein_UniProt:Q13206
LARP7,Protein_UniProt:Q4G0J3
MEPCE,Protein_UniProt:Q7L2J0
NGDN,Protein_UniProt:Q8NEJ9
EXOSC8,Protein_UniProt:Q96B26
NARS2,Protein_UniProt:Q96I59
NOL10,Protein_UniProt:Q9BSC4
CCDC86,Protein_UniProt:Q9H6F5
SEPSECS,Protein_UniProt:Q9HD40
EXOSC5,Protein_UniProt:Q9NQT4
EXOSC3,Protein_UniProt:Q9NQT5
AATF,Protein_UniProt:Q9NY61
HECTD1,Protein_UniProt:Q9ULT8
MRPS2,Protein_UniProt:Q9Y399
MRPS5,Protein_UniProt:P82675
EXOSC2,Protein_UniProt:Q13868
MRPS27,Protein_UniProt:Q92552
GTF2F2,Protein_UniProt:P13984
FBN1,Protein_UniProt:P35555
FBN2,Protein_UniProt:P35556
NUP214,Protein_UniProt:P35658
NUP62,Protein_UniProt:P37198
DCAF7,Protein_UniProt:P61962
EIF4H,Protein_UniProt:Q15056
NUP54,Protein_UniProt:Q7Z3B4
MIB1,Protein_UniProt:Q86YT6
SPART,Protein_UniProt:Q8N0X7
NEK9,Protein_UniProt:Q8TD19
ZNF503,Protein_UniProt:Q96F45
NUP88,Protein_UniProt:Q99567
NUP58,Protein_UniProt:Q9BVL2
MAT2B,Protein_UniProt:Q9NZL9
FBLN5,Protein_UniProt:Q9UBX5
PPT1,Protein_UniProt:P50897
CUL2,Protein_UniProt:Q13617
MAP7D1,Protein_UniProt:Q3KQU3
THTPA,Protein_UniProt:Q9BU02
ZYG11B,Protein_UniProt:Q9C0D3
TIMM8B,Protein_UniProt:Q9Y5J9
RBX1,Protein_UniProt:P62877
ELOC,Protein_UniProt:Q15369
ELOB,Protein_UniProt:Q15370
HMOX1,Protein_UniProt:P09601
TRIM59,Protein_UniProt:Q8IWR1
ARL6IP6,Protein_UniProt:Q8N6S5
VPS39,Protein_UniProt:Q96JC1
CLCC1,Protein_UniProt:Q96S66
VPS11,Protein_UniProt:Q9H270
SUN2,Protein_UniProt:Q9UH99
ALG5,Protein_UniProt:Q9Y673
STOML2,Protein_UniProt:Q9UJZ1
NUP98,Protein_UniProt:P52948
RAE1,Protein_UniProt:P78406
MTCH1,Protein_UniProt:Q9NZJ7
HEATR3,Protein_UniProt:Q7Z4Q2
MDN1,Protein_UniProt:Q9NU22
PLOD2,Protein_UniProt:O00469
TOR1A,Protein_UniProt:O14656
STC2,Protein_UniProt:O76061
PLAT,Protein_UniProt:P00750
ITGB1,Protein_UniProt:P05556
CISD3,Protein_UniProt:P0C7P0
COL6A1,Protein_UniProt:P12109
PVR,Protein_UniProt:P15151
DNMT1,Protein_UniProt:P26358
LOX,Protein_UniProt:P28300
PCSK6,Protein_UniProt:P29122
INHBE,Protein_UniProt:P58166
NPC2,Protein_UniProt:P61916
MFGE8,Protein_UniProt:Q08431
OS9,Protein_UniProt:Q13438
NPTX1,Protein_UniProt:Q15818
POGLUT2,Protein_UniProt:Q6UW63
POGLUT3,Protein_UniProt:Q7Z4H8
ERO1B,Protein_UniProt:Q86YB8
PLD3,Protein_UniProt:Q8IV08
FOXRED2,Protein_UniProt:Q8IWF2
CHPF,Protein_UniProt:Q8IZ52
PUSL1,Protein_UniProt:Q8N0Z8
EMC1,Protein_UniProt:Q8N766
GGH,Protein_UniProt:Q92820
ERLEC1,Protein_UniProt:Q96DZ1
IL17RA,Protein_UniProt:Q96F46
NGLY1,Protein_UniProt:Q96IV0
HS6ST2,Protein_UniProt:Q96MM7
SDF2,Protein_UniProt:Q99470
NEU1,Protein_UniProt:Q99519
GDF15,Protein_UniProt:Q99988
TM2D3,Protein_UniProt:Q9BRN9
ERP44,Protein_UniProt:Q9BS26
EDEM3,Protein_UniProt:Q9BZQ6
SIL1,Protein_UniProt:Q9H173
POFUT1,Protein_UniProt:Q9H488
SMOC1,Protein_UniProt:Q9H4F8
PLEKHF2,Protein_UniProt:Q9H8W4
FBXL12,Protein_UniProt:Q9NXK8
UGGT2,Protein_UniProt:Q9NYU1
CHPF2,Protein_UniProt:Q9P2E5
ADAMTS1,Protein_UniProt:Q9UHI8
HYOU1,Protein_UniProt:Q9Y4L1
FKBP7,Protein_UniProt:Q9Y680
ADAM9,Protein_UniProt:Q13443
FKBP10,Protein_UniProt:Q96AY3
SLC9A3R1,Protein_UniProt:O14745
CHMP2A,Protein_UniProt:O43633
CSDE1,Protein_UniProt:O75534
TOMM70,Protein_UniProt:O94826
MARK3,Protein_UniProt:P27448
MARK2,Protein_UniProt:Q7KZI7
DPH5,Protein_UniProt:Q9H2P9
DCTPP1,Protein_UniProt:Q9H773
MARK1,Protein_UniProt:Q9P0L2
PTBP2,Protein_UniProt:Q9UKA9
BAG5,Protein_UniProt:Q9UL15
UBXN8,Protein_UniProt:O00124
GPAA1,Protein_UniProt:O43292
WFS1,Protein_UniProt:O76024
ABCC1,Protein_UniProt:P33527
F2RL1,Protein_UniProt:P55085
SCAP,Protein_UniProt:Q12770
DPY19L1,Protein_UniProt:Q2PZI1
SIGMAR2,Protein_UniProt:Q5BJF2
SLC30A6,Protein_UniProt:Q6NXT4
TAPT1,Protein_UniProt:Q6NXT6
ERMP1,Protein_UniProt:Q7Z2K6
NLRX1,Protein_UniProt:Q86UT6
RETREG3,Protein_UniProt:Q86VR2
PIGO,Protein_UniProt:Q8TEQ8
FAR2,Protein_UniProt:Q96K12
ECSIT,Protein_UniProt:Q9BQ95
ALG8,Protein_UniProt:Q9BVK2
TMEM39B,Protein_UniProt:Q9GZU3
GHITM,Protein_UniProt:Q9H3K2
ACAD9,Protein_UniProt:Q9H845
NDFIP2,Protein_UniProt:Q9NV92
BCS1L,Protein_UniProt:Q9Y276
NDUFAF1,Protein_UniProt:Q9Y375
TMED5,Protein_UniProt:Q9Y3A6
NDUFB9,Protein_UniProt:Q9Y6M9
PIGS,Protein_UniProt:Q96S52
SLC25A1,Protein_UniProt:P53007
